date,close,volume,open,high,low
5/30/17,70.41,17057170,69.79,70.41,69.77
5/26/17,69.96,19716360,69.8,70.22,69.52
5/25/17,69.62,21838800,68.97,69.88,68.91
5/24/17,68.77,14665710,68.87,68.88,68.45
5/23/17,68.68,15423430,68.72,68.75,68.38
5/22/17,68.45,16216010,67.89,68.5,67.5
5/19/17,67.69,26905730,67.5,68.095,67.43
5/18/17,67.71,25184940,67.4,68.13,67.14
5/17/17,67.48,30494870,68.89,69.1,67.43
5/16/17,69.41,34936100,68.23,69.44,68.16
5/15/17,68.43,30954130,68.14,68.48,67.57
5/12/17,68.38,18700160,68.61,68.61,68.04
5/11/17,68.46,28771250,68.36,68.73,68.12
5/10/17,69.31,17934310,68.99,69.56,68.92
5/9/17,69.04,22442280,68.86,69.28,68.68
5/8/17,68.94,18553900,68.97,69.05,68.42
5/5/17,69,19037540,68.9,69.03,68.485
5/4/17,68.81,21684030,69.03,69.08,68.64
5/3/17,69.08,28901660,69.38,69.38,68.71
5/2/17,69.3,23528160,69.71,69.71,69.13
5/1/17,69.41,31902530,68.68,69.55,68.5
4/28/17,68.46,39431920,68.91,69.14,67.69
4/27/17,68.27,34301810,68.15,68.38,67.58
4/26/17,67.83,26132990,68.08,68.31,67.62
4/25/17,67.92,30186690,67.9,68.04,67.6
4/24/17,67.53,29721350,67.48,67.66,67.1
4/21/17,66.4,32507090,65.67,66.7,65.45
4/20/17,65.5,22298340,65.46,65.75,65.14
4/19/17,65.04,26983430,65.65,65.75,64.89
4/18/17,65.39,15145300,65.33,65.71,65.16
4/17/17,65.48,16664820,65.04,65.49,65.01
4/13/17,64.95,17875510,65.29,65.86,64.95
4/12/17,65.23,17107430,65.42,65.51,65.11
4/11/17,65.48,18783560,65.6,65.61,64.85
4/10/17,65.53,17951970,65.61,65.82,65.36
4/7/17,65.68,14089430,65.85,65.96,65.44
4/6/17,65.73,18074330,65.6,66.055,65.48
4/5/17,65.56,21418530,66.3,66.35,65.4443
4/4/17,65.73,12988620,65.39,65.81,65.28
4/3/17,65.55,20362440,65.81,65.94,65.19
3/31/17,65.86,21037270,65.65,66.19,65.45
3/30/17,65.71,15109580,65.42,65.98,65.36
3/29/17,65.47,13613870,65.12,65.5,64.9475
3/28/17,65.29,20066100,64.96,65.47,64.65
3/27/17,65.1,18555230,64.63,65.22,64.35
3/24/17,64.98,22616680,65.12,65.45,64.76
3/23/17,64.87,19267040,64.94,65.235,64.765
3/22/17,65.03,20635780,64.12,65.14,64.12
3/21/17,64.21,26607950,65.19,65.5,64.13
3/20/17,64.93,14273670,64.91,65.175,64.72
3/17/17,64.87,49077080,64.91,65.24,64.68
3/16/17,64.64,20638340,64.75,64.76,64.3
3/15/17,64.75,24819560,64.55,64.92,64.25
3/14/17,64.41,14280080,64.53,64.55,64.15
3/13/17,64.71,19558920,65.01,65.195,64.57
3/10/17,64.93,19531290,65.11,65.26,64.75
3/9/17,64.73,19841220,65.19,65.2,64.48
3/8/17,64.99,21510490,64.26,65.085,64.25
3/7/17,64.4,18507840,64.19,64.775,64.19
3/6/17,64.27,17536510,63.97,64.56,63.81
3/3/17,64.25,18138220,63.99,64.28,63.62
3/2/17,64.01,24523130,64.69,64.75,63.88
3/1/17,64.94,26911390,64.13,64.99,64.0218
2/28/17,63.98,23225630,64.08,64.2,63.76
2/27/17,64.23,15852360,64.54,64.54,64.045
2/24/17,64.62,21778650,64.53,64.8,64.135
2/23/17,64.62,20255890,64.42,64.7285,64.195
2/22/17,64.36,19274640,64.33,64.39,64.05
2/21/17,64.49,20643320,64.61,64.95,64.45
2/17/17,64.62,21236980,64.47,64.69,64.3
2/16/17,64.52,20538890,64.74,65.24,64.44
2/15/17,64.53,16984020,64.5,64.57,64.155
2/14/17,64.57,23080270,64.41,64.72,64.02
2/13/17,64.72,22871800,64.24,64.86,64.13
2/10/17,64,18169980,64.25,64.3,63.975
2/9/17,64.06,22625170,63.52,64.435,63.32
2/8/17,63.34,18089300,63.57,63.81,63.22
2/7/17,63.43,20271020,63.74,63.78,63.23
2/6/17,63.64,19776560,63.5,63.65,63.14
2/3/17,63.68,30288330,63.5,63.7,63.07
2/2/17,63.17,45820410,63.25,63.41,62.75
2/1/17,63.58,39650890,64.355,64.62,63.47
